NAICS Codes,NAICS Industry Description,"Size standards 
in millions of dollars",Size standards in number of employees,Footnotes,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,,"1,250 ",,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,,"1,000 ",,
336510,Railroad Rolling Stock Manufacturing  ,,"1,500 ",,
336611,Ship Building and Repairing,,"1,250 ",,
336612,Boat Building,,"1,000 ",,
336991,"Motorcycle, Bicycle and Parts Manufacturing",,"1,000 ",,
336992,"Military Armored Vehicle, Tank and Tank Component Manufacturing",,"1,500 ",,
336999,All Other Transportation Equipment Manufacturing  ,,"1,000 ",,
Subsector 337 – Furniture and Related Product Manufacturing,,,,,
337110,Wood Kitchen Cabinet and Counter Top Manufacturing,,750 ,,
337121,Upholstered Household Furniture Manufacturing,,"1,000 ",,
337122,Nonupholstered Wood Household Furniture Manufacturing,,750 ,,
337126,Household Furniture (except Wood and Upholstered) Manufacturing,,750,,
337127,Institutional Furniture Manufacturing,,500 ,,
337211,Wood Office Furniture Manufacturing,,"1,000 ",,
337212,Custom Architectural Woodwork and Millwork Manufacturing,,500 ,,
337214,Office Furniture (Except Wood) Manufacturing,,"1,000 ",,
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",,500 ,,
337910,Mattress Manufacturing,,"1,000 ",,
337920,Blind and Shade Manufacturing,,"1,000 ",,
Subsector 339 – Miscellaneous Manufacturing,,,,,
339112,Surgical and Medical Instrument Manufacturing,,"1,000 ",,
339113,Surgical Appliance and Supplies Manufacturing,,750 ,,
339114,Dental Equipment and Supplies Manufacturing,,750 ,,
339115,Ophthalmic Goods Manufacturing,,"1,000 ",,
339116,Dental Laboratories,,500 ,,
339910,Jewelry and Silverware Manufacturing,,500 ,,
339920,Sporting and Athletic Goods Manufacturing,,750 ,,
339930,"Doll, Toy, and Game Manufacturing",,500 ,,
339940,Office Supplies (except Paper) Manufacturing,,750 ,,
339950,Sign Manufacturing,,500 ,,
339991,"Gasket, Packing, and Sealing Device Manufacturing  ",,500 ,,
339992,Musical Instrument Manufacturing,,"1,000 ",,
339993,"Fastener, Button, Needle and Pin Manufacturing",,750 ,,
339994,"Broom, Brush and Mop Manufacturing",,500 ,,
339995,Burial Casket Manufacturing,,"1,000 ",,
339999,All Other Miscellaneous Manufacturing,,500 ,,
,Sector 42 – Wholesale Trade,,,,
,(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.),,,,
"Subsector 423 –  Merchant Wholesalers, Durable Goods",,,,,
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,,250,,
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,,200,,
423130,Tire and Tube Merchant Wholesalers,,200,,
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,,125,,
423210,Furniture Merchant Wholesalers,,100,,
423220,Home Furnishing Merchant Wholesalers,,100,,
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,150,,
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,150,,
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,225,,
423390,Other Construction Material Merchant Wholesalers,,100,,
423410,Photographic Equipment and Supplies Merchant Wholesalers,,200,,
423420,Office Equipment Merchant Wholesalers,,200,,
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,250,,
423440,Other Commercial Equipment Merchant Wholesalers,,100,,
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,200,,
423460,Ophthalmic Goods Merchant Wholesalers,,175,,
423490,Other Professional Equipment and Supplies Merchant Wholesalers,,150,,
423510,Metal Service Centers and Other Metal Merchant Wholesalers,,200,,
423520,Coal and Other Mineral and Ore Merchant Wholesalers,,200,,
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,200,,
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,225,,
423690,Other Electronic Parts and Equipment Merchant Wholesalers,,250,,
423710,Hardware Merchant Wholesalers,,150,,
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,200,,
423730,Warm Air Heating and Air?Conditioning Equipment and Supplies Merchant Wholesalers,,175,,
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,125,,
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,250,,
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,125,,
423830,Industrial Machinery and Equipment Merchant Wholesalers,,100,,
423840,Industrial Supplies Merchant Wholesalers,,125,,
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,,125,,
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,175,,
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,100,,
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,175,,
423930,Recyclable Material Merchant Wholesalers,,125,,
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",,125,,
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,,100,,
"Subsector 424 – Merchant Wholesalers, Nondurable Goods",,,,,
424110,Printing and Writing Paper Merchant Wholesalers,,225,,
424120,Stationary and Office Supplies Merchant Wholesalers,,150,,
424130,Industrial and Personal Service Paper Merchant Wholesalers,,150,,
424210,Drugs and Druggists’ Sundries Merchant Wholesalers,,250,,
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",,100,,
424340,Footwear Merchant Wholesalers,,200,,
424350,Clothing and Clothing Accessories Merchant Wholesalers,,150,,
424410,General Line Grocery Merchant Wholesalers,,250,,
424420,Packaged Frozen Food Merchant Wholesalers,,200,,
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,,200,,
424440,Poultry and Poultry Product Merchant Wholesalers,,150,,
424450,Confectionery Merchant Wholesalers,,225,,
424460,Fish and Seafood Merchant Wholesalers,,100,,
424470,Meat and Meat Product Merchant Wholesalers,,150,,
424480,Fresh Fruit and Vegetable Merchant Wholesalers,,100,,
424490,Other Grocery and Related Products Merchant Wholesalers,,250,,
424510,Grain and Field Bean Merchant Wholesalers,,200,,
424520,Livestock Merchant Wholesalers,,125,,
424590,Other Farm Product Raw Material Merchant Wholesalers,,175,,
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,,150,,
424690,Other Chemical and Allied Products Merchant Wholesalers,,175,,
424710,Petroleum Bulk Stations and Terminals,,225,,
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),,200,,
424810,Beer and Ale Merchant Wholesalers,,200,,
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,,250,,
424910,Farm Supplies Merchant Wholesalers,,200,,
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,200,,
424930,"Flower, Nursery Stock, and Florists’ Supplies Merchant Wholesalers",,100,,
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,,250,,
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,150,,
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,,100,,
Subsector 425 – Wholesale Trade Agents and Brokers,,,,,
425120,Wholesale Trade Agents and Brokers,,125,,
,Sector 44 - 45 – Retail Trade,,,,
,(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.),,,,
Subsector 441 – Motor Vehicle and Parts Dealers,,,,,
441110,New Car Dealers,,200,,
441120,Used Car Dealers,$27.0,,,
441210,Recreational Vehicle Dealers  ,$35.0,,,
441222,Boat Dealers,$35.0,,,
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",$35.0,,,
441330,Automotive Parts and Accessories Retailers,$25.0,,,
441340,Tire Dealers,$22.5,,,
Subsector 444 – Building Material and Garden Equipment and Supplies Dealers,,,,,
444110,Home Centers,$41.5,,,
444120,Paint and Wallpaper Retailers,$30.0,,,
444140,Hardware Retailers,$14.5,,,
444180,Other Building Material Dealers,$22.0,,,
444230,Outdoor Power Equipment Retailers,$8.5,,,
444240,"Nursery, Garden Center, and Farm Supply Retailers",$19.0,,,
Subsector 445 – Food and Beverage Stores,,,,,
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),$35.0,,,
445131,Convenience Retailers,$32.0,,,
445132,Vending Machine Operators,$18.5,,,
445230,Fruit and Vegetable Retailers,$8.0,,,
445240,Meat Retailers,$8.0,,,
445250,Fish and Seafood Retailers,$8.0,,,
445291,Baked Goods Retailers,$14.0,,,
445292,Confectionery and Nut Retailers,$17.0,,,
445298,All Other Specialty Food Retailers,$9.0,,,
445320,"Beer, Wine, and Liquor Retailers",$9.0,,,
"Subsector 449 - Furniture, Home Furnishings, Electronics, and Appliance Retailers",,,,,
449110,Furniture Retailers,$22.0,,,
449121,Floor Covering Retailers,$8.0,,,
449122,Window Treatment Retailers,$10.0,,,
449129,All Other Home Furnishings Retailers,$29.5,,,
449210,Electronics and Appliance Retailers,$35.0,,,
Subsector 455 – General Merchandise Retailers,,,,,
455110,Department Stores,$35.0,,,
455211,Warehouse Clubs and Supercenters,$41.5,,,
455219,All Other General Merchandise Retailers,$35.0,,,
Subsector 456 – Health and Personal Care Retailers,,,,,
456110,Pharmacies and Drug Retailers,$33.0,,,
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",$30.0,,,
456130,Optical Goods Retailers,$26.0,,,
456191,Food (Health) Supplement Retailers,$20.0,,,
456199,All Other Health and Personal Care Retailers,$8.5,,,
Subsector 457 – Gasoline Stations and Fuel Dealers,,,,,
457110,Gasoline Stations with Convenience Stores,$32.0,,,
457120,Other Gasoline Stations,$29.5,,,
457210,Fuel Dealers,,100,,
"Subsector 458 – Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",,,,,
458110,Clothing and Clothing Accessories Retailers,$41.5,,,
458210,Shoe Retailers,$30.0,,,
458310,Jewelry Retailers,$18.0,,,
458320,Luggage and Leather Goods Retailers,$33.5,,,
"Subsector 459 – Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",,,,,
459110,Sporting Goods Retailers,$23.5,,,
459120,"Hobby, Toy, and Game Retailers",$31.0,,,
459130,"Sewing, Needlework, and Piece Goods Retailers",$30.0,,,
459140,Musical Instrument and Supplies Retailers,$20.0,,,
459210,Book Retailers and News Dealers,$31.5,,,
459310,Florists,$8.0,,,
459410,Office Supplies and Stationery Retailers,$35.0,,,
459420,"Gift, Novelty, and Souvenir Retailers",$12.0,,,
459510,Used Merchandise Retailers,$12.5,,,
459910,Pet and Pet Supplies Retailers,$28.0,,,
459920,Art Dealers,$14.5,,,
459930,Manufactured (Mobile) Home Dealers,$16.5,,,
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",$10.0,,,
459999,All Other Miscellaneous Retailers,$10.0,,,
,Sector 48 - 49 – Transportation and Warehousing,,,,
Subsector 481 – Air Transportation,,,,,
481111,Scheduled Passenger Air Transportation,,"1,500 ",,
481112,Scheduled Freight Air Transportation,,"1,500 ",,
481211,Nonscheduled Chartered Passenger Air Transportation,,"1,500 ",,
481212,Nonscheduled Chartered Freight Air Transportation  ,,"1,500 ",,
481219,Other Nonscheduled Air Transportation,$22.0,,,
Subsector 482 – Rail Transportation,,,,,
482111,Line?Haul Railroads,,"1,500 ",,
482112,Short Line Railroads,,"1,500 ",,
Subsector 483 – Water Transportation,,,,,
483111,Deep Sea Freight Transportation,,500 ,,
483112,Deep Sea Passenger Transportation,,"1,500 ",,
483113,Coastal and Great Lakes Freight Transportation,,750 ,,
483114,Coastal and Great Lakes Passenger Transportation,,500 ,,
483211,Inland Water Freight Transportation,,750 ,,
483212,Inland Water Passenger Transportation,,500 ,,
Subsector 484 – Truck Transportation,,,,,
484110,"General Freight Trucking, Local",$30.0,,,
484121,"General Freight Trucking, Long?Distance, Truckload  ",$30.0,,,
484122,"General Freight Trucking, Long?Distance, Less Than Truckload",$38.0,,,
484210,Used Household and Office Goods Moving,$30.0,,,
484220,"Specialized Freight (except Used Goods) Trucking, Local",$30.0,,,
484230,"Specialized Freight (except Used Goods) Trucking, Long?Distance",$30.0,,,
Subsector 485 – Transit and Ground Passenger Transportation,,,,,
485111,Mixed Mode Transit Systems,$25.5,,,
485112,Commuter Rail Systems,$41.5,,,
485113,Bus and Other Motor Vehicle Transit Systems,$28.5,,,
485119,Other Urban Transit Systems,$33.0,,,
485210,Interurban and Rural Bus Transportation,$28.0,,,
485310,Taxi and Ridesharing Services,$16.5,,,
485320,Limousine Service,$16.5,,,
485410,School and Employee Bus Transportation,$26.5,,,
485510,Charter Bus Industry,$16.5,,,
485991,Special Needs Transportation,$16.5,,,
485999,All Other Transit and Ground Passenger Transportation,$16.5,,,
Subsector 486 – Pipeline Transportation,,,,,
486110,Pipeline Transportation of Crude Oil,,"1,500 ",,
486210,Pipeline Transportation of Natural Gas,$36.5,,,
486910,Pipeline Transportation of Refined Petroleum Products,,"1,500 ",,
486990,All Other Pipeline Transportation,$40.5,,,
Subsector 487 – Scenic and Sightseeing Transportation,,,,,
487110,"Scenic and Sightseeing Transportation, Land",$18.0,,,
487210,"Scenic and Sightseeing Transportation, Water",$12.5,,,
487990,"Scenic and Sightseeing Transportation, Other",$22.0,,,
Subsector 488 – Support Activities for Transportation,,,,,
488111,Air Traffic Control,$35.0,,,
488119,Other Airport Operations,$35.0,,,
488190,Other Support Activities for Air Transportation,$35.0,,,
488210,Support Activities for Rail Transportation,$30.0,,,
488310,Port and Harbor Operations,$41.5,,,
488320,Marine Cargo Handling,$41.5,,,
488330,Navigational Services to Shipping,$41.5,,,
488390,Other Support Activities for Water Transportation,$41.5,,,
488410,Motor Vehicle Towing,$8.0,,,
488490,Other Support Activities for Road Transportation,$16.0,,,
488510,Freight Transportation Arrangement10,$17.5,,See footnote 10,
488510 (Exception),Non?Vessel Owning Common Carriers and Household Goods Forwarders,$30.0,,,
488991,Packing and Crating,$30.0,,,
488999,All Other Support Activities for Transportation,$22.0,,,
Subsector 491 – Postal Service,,,,,
491110,Postal Service,$8.0,,,
Subsector 492 – Couriers and Messengers,,,,,
492110,Couriers and Express Delivery Services,,"1,500 ",,
492210,Local Messengers and Local Delivery,$30.0,,,
Subsector 493 – Warehousing and Storage,,,,,
493110,General Warehousing and Storage,$30.0,,,
493120,Refrigerated Warehousing and Storage,$32.0,,,
493130,Farm Product Warehousing and Storage,$30.0,,,
493190,Other Warehousing and Storage,$32.0,,,
,Sector 51 – Information,,,,
Subsector 512 – Motion Picture and Sound Recording Industries,,,,,
512110,Motion Picture and Video Production,$35.0,,,
512120,Motion Picture and Video Distribution,$34.5,,,
512131,Motion Picture Theaters (except Drive?Ins),$41.5,,,
512132,Drive?In Motion Picture Theaters,$11.0,,,
512191,Teleproduction and Other Postproduction Services,$34.5,,,
512199,Other Motion Picture and Video Industries,$25.0,,,
512230,Music Publishers,,750 ,,
512240,Sound Recording Studios,$9.5,,,
512250,Record Production and Distribution,,250,,
512290,Other Sound Recording Industries,$20.0,,,
Subsector 513 – Publishing Industries,,,,,
513110,Newspaper Publishers,,"1,000",,
513120,Periodical Publishers,,"1,000",,
513130,Book Publishers,,"1,000",,
513140,Directory and Mailing List Publishers,,"1,000",,
513191,Greeting Card Publishers,,"1,000",,
513199,All Other Publishers,,"1,000",,
513210,Software Publishers15,$41.5,,,
Subsector 516 – Broadcasting and Content Providers,,,,,
516110,Radio Broadcasting Stations,$41.5,,,
516120,Television Broadcasting Stations,$41.5,,,
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",$41.5,,,
Subsector 517 – Telecommunications,,,,,
517111,Wired Telecommunications Carriers,,"1,500",,
517112,Wireless Telecommunications Carriers (except Satellite),,"1,500",,
517121,Telecommunications Resellers,,"1,500",,
517122,Agents for Wireless Telecommunications Services,,"1,500",,
517410,Satellite Telecommunications,$38.5,,,
517810,All Other Telecommunications,$35.0,,,
"Subsector 518 –Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,,,,
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",$35.0,,,
"Subsector 519 – Web Search Portals, Libraries, Archives, and Other Information Services",,,,,
519210,Libraries and Archives,$18.5,,,
519290,Web Search Portals and All Other Information Services,,"1,000",,
,Sector 52 – Finance and Insurance,,,,
Subsector 522 – Credit Intermediation and Related Activities,,,,,
522110,Commercial Banking8,$750 million in assets  ,,See footnote 8,
522130,Credit Unions8,$750 million in assets  ,,See footnote 8,
522180,Savings Institutions and Other Depository Credit Intermediation8,$750 million in assets  ,,See footnote 8,
522210,Credit Card Issuing8,$750 million in assets  ,,See footnote 8,
522220,Sales Financing,$41.5,,,
522291,Consumer Lending,$41.5,,,
522292,Real Estate Credit,$41.5,,,
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",$41.5,,,
522310,Mortgage and Nonmortgage Loan Brokers,$13.0,,,
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",$41.5,,,
522390,Other Activities Related to Credit Intermediation,$25.0,,,
"Subsector 523 – Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,
523150,Investment Banking and Securities Intermediation,$41.5,,,
523160,Commodity Contracts Intermediation,$41.5,,,
523210,Securities and Commodity Exchanges,$41.5,,,
523910,Miscellaneous Intermediation,$41.5,,,
523940,Portfolio Management and Investment Advice,$41.5,,,
523991,"Trust, Fiduciary and Custody Activities",$41.5,,,
523999,Miscellaneous Financial Investment Activities,$41.5,,,
Subsector 524 – Insurance Carriers and Related Activities,,,,,
524113,Direct Life Insurance Carriers,$41.5,,,
524114,Direct Health and Medical Insurance Carriers,$41.5,,,
524126,Direct Property and Casualty Insurance Carriers,,"1,500 ",,
524127,Direct Title Insurance Carriers,$41.5,,,
524128,"Other Direct Insurance (except Life, Health and Medical) Carriers",$41.5,,,
524130,Reinsurance Carriers,$41.5,,,
524210,Insurance Agencies and Brokerages,$13.0,,,
524291,Claims Adjusting,$22.0,,,
524292,Pharmacy Benefit Management and Other Third-Party Administration of Insurance and Pension Funds,$40.0,,,
524298,All Other Insurance Related Activities,$27.0,,,
"Subsector 525 – Funds, Trusts and Other Financial Vehicles",,,,,
525110,Pension Funds,$35.0,,,
525120,Health and Welfare Funds,$35.0,,,
525190,Other Insurance Funds,$35.0,,,
525910,Open?End Investment Funds,$35.0,,,
525920,"Trusts, Estates, and Agency Accounts",$35.0,,,
525990,Other Financial Vehicles,$35.0,,,
,Sector 53 – Real Estate and Rental and Leasing,,,,
Subsector 531 – Real Estate,,,,,
531110,Lessors of Residential Buildings and Dwellings9,$30.0,,See footnote 9,
531110 (Exception),Leasing of Building Space to the Federal Government by Owners,$41.5,,,
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)9,$30.0,,See footnote 9,
531120 (Exception),Leasing of Building Space to the Federal Government by Owners,$41.5,,,
531130,Lessors of Miniwarehouses and Self Storage Units9,$30.0,,See footnote 9,
531130 (Exception),Leasing of Building Space to the Federal Government by Owners,$41.5,,,
531190,Lessors of Other Real Estate Property9,$30.0,,See footnote 9,
531190 (Exception),Leasing of Building Space to the Federal Government by Owners,$41.5,,,
531210,Offices of Real Estate Agents and Brokers10,$13.0,,See footnote 10,
531311,Residential Property Managers,$11.0,,,
531312,Nonresidential Property Managers,$17.0,,,
531320,Offices of Real Estate Appraisers,$8.5,,,
531390,Other Activities Related to Real Estate,$17.0,,,
Subsector 532 – Rental and Leasing Services,,,,,
532111,Passenger Car Rental,$41.5,,,
532112,Passenger Car Leasing,$41.5,,,
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",$41.5,,,
532210,Consumer Electronics and Appliances Rental,$41.5,,,
532281,Formal Wear and Costume Rental,$22.0,,,
532282,Video Tape and Disc Rental,$31.0,,,
532283,Home Health Equipment Rental,$36.0,,,
532284,Recreational Goods Rental,$8.0,,,
532289,All Other Consumer Goods Rental,$11.0,,,
532310,General Rental Centers,$8.0,,,
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",$40.0,,,
532412,"Construction, Mining and Forestry Machinery and Equipment Rental and Leasing",$35.0,,,
532420,Office Machinery and Equipment Rental and Leasing,$35.0,,,
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,$35.0,,,
Subsector 533 – Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),,,,,
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),$41.5,,,
,"Sector 54 – Professional, Scientific and Technical Services",,,,
"Subsector 541 – Professional, Scientific and Technical Services",,,,,
541110,Offices of Lawyers,$13.5,,,
541191,Title Abstract and Settlement Offices,$17.0,,,
541199,All Other Legal Services,$18.0,,,
541211,Offices of Certified Public Accountants,$23.5,,,
541213,Tax Preparation Services,$22.0,,,
541214,Payroll Services,$34.5,,,
541219,Other Accounting Services,$22.0,,,
541310,Architectural Services,$11.0,,,
541320,Landscape Architectural Services,$8.0,,,
541330,Engineering Services,$22.5,,,
541330 (Exception 1),Military and Aerospace Equipment and Military Weapons,$41.5,,,
541330 (Exception 2),Contracts and Subcontracts for Engineering Services Awarded Under the National Energy Policy Act of 1992,$41.5,,,
541330 (Exception 3),Marine Engineering and Naval Architecture,$41.5,,,
541340,Drafting Services,$8.0,,,
541350,Building Inspection Services,$10.0,,,
541360,Geophysical Surveying and Mapping Services,$25.0,,,
541370,Surveying and Mapping (except Geophysical) Services,$16.5,,,
541380,Testing Laboratories and Services,$16.5,,,
541410,Interior Design Services,$8.0,,,
541420,Industrial Design Services,$15.0,,,
541430,Graphic Design Services,$8.0,,,
541490,Other Specialized Design Services,$12.0,,,
541511,Custom Computer Programming Services,$30.0,,,
541512,Computer Systems Design Services,$30.0,,,
541513,Computer Facilities Management Services,$32.5,,,
541519,Other Computer Related Services,$30.0,,,
541519 (Exception),Information Technology Value Added Resellers18,,150 ,See footnote 18,
541611,Administrative Management and General Management Consulting Services,$21.5,,,
541612,Human Resources Consulting Services,$25.5,,,
541613,Marketing Consulting Services,$16.5,,,
541614,"Process, Physical Distribution and Logistics Consulting Services",$17.5,,,
541618,Other Management Consulting Services,$16.5,,,
541620,Environmental Consulting Services,$16.5,,,
541690,Other Scientific and Technical Consulting Services  ,$16.5,,,
541713,Research and Development in Nanotechnology11,,"1,000",See footnote 11,
541714,Research and Development in Biotechnology (except Nanobiotechnology)11,,"1,000",See footnote 11,
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) 11",,"1,000",See footnote 11,
541715 (Exception 1),"Aircraft, Aircraft Engine and Engine Parts11",,"1,500",See footnote 11,
541715 (Exception 2),Other Aircraft Parts and Auxiliary Equipment11,,"1,250",See footnote 11,
541715 (Exception 3),"Guided Missiles and Space Vehicles, Their Propulsion Units and Propulsion Parts11",,"1,250",See footnote 11,
541720,Research and Development in the Social Sciences and Humanities,$24.5,,,
541810,Advertising Agencies10,$22.5,,See footnote 10,
541820,Public Relations Agencies,$16.5,,,
541830,Media Buying Agencies,$28.5,,,
541840,Media Representatives,$18.5,,,
541850,Indoor and Outdoor Display Advertising,$30.5,,,
541860,Direct Mail Advertising,$19.5,,,
541870,Advertising Material Distribution Services,$25.0,,,
541890,Other Services Related to Advertising,$16.5,,,
541910,Marketing Research and Public Opinion Polling,$20.0,,,
541921,"Photography Studios, Portrait",$14.0,,,
541922,Commercial Photography,$8.0,,,
541930,Translation and Interpretation Services,$20.0,,,
541940,Veterinary Services,$9.0,,,
541990,"All Other Professional, Scientific and Technical Services",$17.0,,,
,Sector 55 – Management of Companies and Enterprises,,,,
Subsector 551 – Management of Companies and Enterprises,,,,,
551111,Offices of Bank Holding Companies,$34.0,,,
551112,Offices of Other Holding Companies,$40.0,,,
,Sector 56 – Administrative and Support and Waste Management and Remediation Services,,,,
Subsector 561 – Administrative and Support Services,,,,,
561110,Office Administrative Services,$11.0,,,
561210,Facilities Support Services12,$41.5,,See footnote 12,
561311,Employment Placement Agencies,$30.0,,,
561312,Executive Search Services,$30.0,,,
561320,Temporary Help Services,$30.0,,,
561330,Professional Employer Organizations,$36.5,,,
561410,Document Preparation Services,$16.5,,,
561421,Telephone Answering Services,$16.5,,,
561422,Telemarketing Bureaus and Other contact Centers,$22.5,,,
561431,Private Mail Centers,$16.5,,,
561439,Other Business Service Centers (including Copy Shops),$23.5,,,
561440,Collection Agencies,$17.0,,,
561450,Credit Bureaus,$36.0,,,
561491,Repossession Services,$16.5,,,
561492,Court Reporting and Stenotype Services,$16.5,,,
561499,All Other Business Support Services,$19.0,,,
561510,Travel Agencies10,$22.0,,See footnote 10,
561520,Tour Operators10,$22.0,,See footnote 10,
561591,Convention and Visitors Bureaus,$22.0,,,
561599,All Other Travel Arrangement and Reservation Services,$28.5,,,
561611,Investigation and Personal Background Check Services,$22.0,,,
561612,Security Guards and Patrol Services,$25.5,,,
561613,Armored Car Services,$38.0,,,
561621,Security Systems Services (except Locksmiths),$22.0,,,
561622,Locksmiths,$22.0,,,
561710,Exterminating and Pest Control Services,$15.5,,,
561720,Janitorial Services,$19.5,,,
561730,Landscaping Services,$8.5,,,
561740,Carpet and Upholstery Cleaning Services,$7.5,,,
561790,Other Services to Buildings and Dwellings  ,$8.0,,,
561910,Packaging and Labeling Services,$17.0,,,
561920,Convention and Trade Show Organizers10,$17.5,,See footnote 10,
561990,All Other Support Services,$14.5,,,
Subsector 562 – Waste Management and Remediation Services,,,,,
562111,Solid Waste Collection,$41.5,,,
562112,Hazardous Waste Collection,$41.5,,,
562119,Other Waste Collection,$41.5,,,
562211,Hazardous Waste Treatment and Disposal,$41.5,,,
562212,Solid Waste Landfill,$41.5,,,
562213,Solid Waste Combustors and Incinerators,$41.5,,,
562219,Other Nonhazardous Waste Treatment and Disposal  ,$41.5,,,
562910,Remediation Services,$22.0,,,
562910 (Exception),Environmental Remediation Services14,,750 ,See footnote 14,
562920,Materials Recovery Facilities,$22.0,,,
562991,Septic Tank and Related Services,$8.0,,,
562998,All Other Miscellaneous Waste Management Services,$14.5,,,
,Sector 61 – Educational Services,,,,
Subsector 611 – Educational Services,,,,,
611110,Elementary and Secondary Schools,$17.5,,,
611210,Junior Colleges,$28.5,,,
611310,"Colleges, Universities and Professional Schools",$30.5,,,
611410,Business and Secretarial Schools,$18.0,,,
611420,Computer Training,$14.0,,,
611430,Professional and Management Development Training,$13.0,,,
611511,Cosmetology and Barber Schools,$11.5,,,
611512,Flight Training,$30.0,,,
611513,Apprenticeship Training,$10.0,,,
611519,Other Technical and Trade Schools,$18.5,,,
611519 (Exception),Job Corps Centers16,$41.5,,See footnote 16,
611610,Fine Arts Schools,$8.0,,,
611620,Sports and Recreation Instruction,$8.0,,,
611630,Language Schools,$18.0,,,
611691,Exam Preparation and Tutoring,$11.0,,,
611692,Automobile Driving Schools,$9.0,,,
611699,All Other Miscellaneous Schools and Instruction,$14.5,,,
611710,Educational Support Services,$21.0,,,
,Sector 62 – Health Care and Social Assistance,,,,
Subsector 621 – Ambulatory Health Care Services,,,,,
621111,Offices of Physicians (except Mental Health Specialists),$14.0,,,
621112,"Offices of Physicians, Mental Health Specialists",$12.0,,,
621210,Offices of Dentists,$8.0,,,
621310,Offices of Chiropractors,$8.0,,,
621320,Offices of Optometrists,$8.0,,,
